DI Water,Unaltered water,Mixed road salt,CaCl2,MgCl2
1,1,1,1,1
0.992024073,1.02916771,1.020829984,1.004184982,0.936567312
0.99532991,0.974992921,1.020826167,0.966721623,0.939418375
0.966037299,0.998418174,0.962651023,0.993480954,0.952642605
0.964135885,1.008046975,0.974579947,0.993472435,0.909667828
0.960377884,0.996377644,1.003797516,0.971854935,0.876941602
0.965100176,1.002944597,1.049897799,0.950377804,0.92661884
0.970311892,0.955034157,0.990264852,0.972477339,0.927011376
0.983445391,0.987721951,0.983548363,0.978321574,0.881070368
0.967302386,0.989764587,1.003541564,0.965669776,0.908285409
0.959490635,0.981180741,0.969297013,0.964565151,0.893643787
0.966403299,0.996271159,0.942963841,0.957633699,0.864795289
0.951405451,0.966039537,0.930901552,0.974174184,0.900616581
0.963502274,0.971350906,0.928703061,0.950458359,0.868626989
0.958078644,1.008183884,0.911891071,0.92715457,0.873079351
0.969546125,0.967813972,0.937647453,0.939846182,0.853942758
0.965887678,0.959186596,0.957256502,0.943148946,0.84118322
0.958510042,0.980442836,0.943662993,0.926710868,0.853257377
0.954074961,0.950399377,0.945938045,0.943001539,0.847961254
0.970707195,0.975918519,0.977059761,0.939545257,0.799300429
0.969707778,0.978853989,0.961226674,0.920011637,0.908513534
0.951939121,0.94467026,0.95710832,0.934142132,0.859683274
0.949384107,0.952414397,0.939462016,0.929511411,0.847176181
0.957580294,0.929614712,0.899361333,0.903487078,0.799908227
0.961520518,0.94175047,0.966214365,0.85059434,0.851614273
0.951567687,0.915897129,0.93364293,0.852874145,0.823505825
0.946922631,0.908004849,0.931929176,0.897082661,0.798061116
0.962369149,0.935924698,0.920600616,0.798595487,0.748930374
0.953451248,0.952299487,0.948668647,0.870569811,0.815688465
0.955661996,0.957162215,0.914349555,0.904765406,0.810355962
0.9596944,0.936747088,0.915409285,0.894282117,0.797063596
0.954804827,0.954691299,0.960189171,0.890010839,0.792552143
0.962425621,0.926264536,0.949340632,0.891616758,0.766222067
0.9602434,0.941649134,0.965070441,0.904815591,0.762141539
0.95484655,0.921328556,0.908128804,0.864232245,0.784320539
0.947438447,0.912750561,0.884417341,0.890091579,0.754858616
0.953082143,0.953969777,0.906681105,0.863033176,0.779392029
0.948387601,0.930174284,0.929001222,0.807093414,0.780285034
0.954717693,0.914435127,0.897045643,0.846813801,0.80584672
0.976096865,0.94707237,0.943314764,0.840027533,0.795819861
0.945020829,0.925433487,0.940773208,0.830863313,0.755959245
0.964472194,0.93284951,0.87668872,0.837047546,0.777736262
0.941475131,0.938661474,0.886934201,0.87273369,0.760028316
0.942978137,0.941582668,0.917497088,0.834855889,0.737817358
0.944196261,0.935177198,0.9207131,0.850299712,0.745106914
0.951151231,0.901480022,0.897503213,0.828805914,0.744721815
0.960637539,0.922419148,0.86772951,0.806864526,0.731819171
0.950779215,0.925400488,0.883611542,0.833711449,0.746799865
0.937286508,0.918903043,0.850490484,0.782195187,0.751051637
0.951937956,0.920314727,0.903785033,0.831990716,0.70695975
0.941379071,0.895737799,0.90046462,0.818099664,0.685161025
0.950677139,0.911319686,0.891227455,0.857138757,0.754605567
0.959352463,0.954636068,0.885601455,0.83968272,0.733381879
0.935699667,0.947054583,0.876272911,0.837552914,0.723627967
0.945192573,0.886065234,0.861196004,0.83391793,0.756153201
0.965770465,0.929818087,0.863645957,0.804246389,0.737652746
0.963425426,0.911123801,0.84374638,0.849903602,0.713752656
0.944913513,0.902838347,0.87932233,0.814411716,0.723769867
0.942072452,0.904669417,0.865764294,0.835321627,0.700361403
0.935814552,0.905008999,0.866457385,0.784846657,0.752833225
0.947365091,0.919167499,0.881766893,0.814207643,0.700016099
0.944125235,0.918647011,0.86348116,0.82359464,0.674295229
0.952213329,0.922928168,0.868355694,0.833093118,0.743698769
0.93981183,0.933073713,0.836948166,0.82014447,0.704747035
0.958926304,0.917988209,0.848458587,0.824270193,0.701047989
0.943940488,0.947010585,0.87933625,0.81526875,0.757495623
0.938512589,0.906871664,0.859513009,0.82012984,0.704619808
0.935741391,0.919155096,0.914061946,0.841230676,0.723611084
0.947994627,0.900872005,0.807947707,0.812705427,0.70361465
0.95201267,0.878577129,0.889001797,0.806829156,0.717253123
0.947314053,0.93623245,0.863455565,0.834690704,0.691763794
0.943380621,0.907964127,0.855346833,0.836386067,0.686916484
0.938410318,0.906800986,0.836126426,0.780448898,0.720447077
0.959338103,0.882496706,0.875213181,0.815879673,0.699106211
0.962312677,0.884544023,0.896485692,0.817808924,0.682902083
0.968894079,0.866275676,0.822498341,0.784280363,0.675647298
0.932653872,0.883867435,0.852014745,0.824767228,0.70764091
0.937951557,0.898046062,0.873256946,0.789684229,0.72661269
0.930128162,0.887536597,0.841871421,0.773980592,0.686578819
0.934291945,0.903642951,0.875096431,0.715221583,0.724512531
0.950293673,0.901319241,0.782717148,0.807107488,0.684843057
0.953782899,0.891165974,0.837720736,0.769308575,0.672136581
0.947712655,0.907001318,0.86449172,0.782106113,0.682973234
0.941525975,0.888907794,0.900639969,0.825425744,0.697381705
0.939572358,0.891337285,0.853045736,0.792973474,0.671598326
0.942204026,0.90592898,0.828729195,0.779952234,0.657437275
0.947827928,0.897625038,0.8735001,0.794537542,0.629339882
0.942163273,0.905726074,0.813383988,0.79075441,0.644813005
0.930478249,0.893797904,0.807370019,0.789732562,0.650018079
0.931351138,0.884334095,0.867860405,0.806199529,0.66011026
0.937355982,0.882796736,0.797388349,0.822536126,0.65333705
0.930969613,0.870085024,0.81914425,0.803715466,0.684478257
0.957578159,0.882818267,0.84209347,0.781688337,0.673099933
0.948009181,0.901090592,0.795686943,0.77698058,0.645457785
0.958946681,0.886432197,0.835059062,0.777424096,0.637687256
0.928910038,0.897587124,0.883183834,0.810807472,0.66400487
0.949134738,0.884280736,0.841289916,0.780121122,0.613276648
0.936008807,0.89536873,0.804385262,0.78019964,0.669082516
0.931764683,0.914560101,0.796708056,0.792058293,0.689835483
0.927846193,0.892191738,0.804468783,0.781598523,0.633208364
0.935858798,0.879856819,0.81863055,0.764103783,0.624109281
0.968566503,0.888261864,0.782043142,0.759982133,0.644186313
0.941878003,0.908763349,0.878852636,0.740735364,0.669183816
0.949938929,0.896460024,0.799680913,0.70486922,0.672098594
0.958878371,0.878994877,0.797508691,0.784749806,0.679393979
0.952563222,0.899005362,0.829049808,0.769450056,0.603714683
0.933142713,0.887242652,0.750638308,0.761549349,0.618412582
0.932242074,0.896683291,0.78940647,0.751629391,0.676127466
0.94943825,0.890790117,0.824684708,0.755175858,0.644577443
0.934698504,0.919726369,0.8284701,0.746177192,0.668568782
0.952467162,0.881759503,0.834991706,0.776874469,0.656929571
0.947678695,0.918252666,0.782116784,0.722837106,0.676449857
0.943847145,0.918795388,0.809144618,0.744471644,0.653676123
0.949470658,0.873297121,0.819494275,0.765322666,0.688687822
0.953316181,0.888933537,0.797132846,0.760920833,0.679402822
0.934809313,0.889207823,0.815998962,0.746474043,0.641425495
0.952620276,0.896537489,0.744190568,0.772595228,0.637392804
0.96129987,0.862826505,0.80526852,0.733644468,0.644984249
0.952600094,0.882205101,0.771350644,0.757442885,0.610546783
0.951515484,0.870658872,0.777536145,0.750547359,0.604477847
0.930813005,0.886104552,0.770020817,0.770488385,0.641509309
0.937643969,0.889289267,0.789373466,0.747923111,0.627590855
0.950498602,0.868930073,0.811753979,0.724245619,0.628314022
0.93488655,0.888505258,0.771022846,0.756900295,0.611232767
0.946570604,0.899884856,0.822188504,0.732357436,0.652843817
0.932400622,0.876160509,0.82181715,0.710766047,0.637047701
0.92869987,0.904220543,0.794899555,0.720200451,0.629912104
0.945704119,0.880372159,0.770581666,0.781401116,0.634174328
0.926972334,0.870845396,0.806052317,0.738120189,0.623623887
0.927334065,0.881742887,0.804341706,0.736188531,0.635677744
0.935129321,0.895890389,0.770859396,0.715123991,0.626958335
0.939729742,0.890801117,0.757456728,0.735647607,0.61467173
0.922174552,0.884487855,0.777478668,0.755570486,0.619118464
0.938066441,0.867535708,0.773460001,0.777856502,0.608166643
0.927381416,0.867271719,0.786148474,0.73315484,0.637917592
0.941662789,0.873567896,0.803282873,0.743084428,0.625402259
0.934564408,0.859787826,0.777278173,0.735685015,0.59476132
0.94889449,0.891003789,0.824775638,0.718307496,0.589342993
0.943446214,0.854294848,0.797770256,0.70156053,0.618011805
0.933667067,0.860279294,0.819665134,0.69745277,0.626895625
0.93395816,0.876983133,0.74197681,0.72509006,0.598961839
0.950745642,0.87593888,0.814253326,0.72749505,0.57898068
0.937102344,0.899252968,0.790912544,0.714553438,0.574062018
0.927035986,0.855191895,0.777081494,0.737712969,0.580847488
0.927035986,0.881688826,0.768662252,0.724143953,0.60223418
0.936618354,0.861154576,0.735171636,0.749259031,0.636692148
0.930662219,0.870904138,0.76254972,0.767959877,0.591812977
0.947875085,0.865102471,0.767097579,0.716321764,0.591263667
0.934743332,0.874880819,0.754446152,0.70599866,0.593174292
0.9305648,0.864422373,0.815480323,0.734052985,0.578610856
0.944681027,0.919785111,0.826046865,0.737717043,0.595622568
0.931125056,0.890576446,0.846324083,0.702127935,0.566442032
0.945053237,0.871724422,0.813123546,0.726166722,0.620499476
0.941284369,0.849600623,0.799389937,0.723834695,0.593872335
0.932014828,0.867448413,0.853768463,0.703300893,0.597752273
0.927810098,0.877152339,0.791612595,0.740118144,0.608901266
0.921727046,0.877955773,0.814023643,0.742483689,0.566661515
0.932936038,0.859997285,0.78046612,0.760216021,0.604807875
0.925824266,0.875009303,0.781962315,0.764103042,0.595916216
0.922277405,0.857771636,0.798233888,0.726417091,0.595937119
0.933132622,0.866938456,0.76293926,0.732441325,0.59255966
0.93456596,0.862595749,0.802552288,0.813975237,0.578002053
0.929261289,0.875426115,0.804020643,0.676158972,0.581175707
0.929951954,0.869060196,0.743107937,0.742071654,0.597094428
0.946563229,0.87409915,0.796844339,0.710563085,0.546682767
0.932225191,0.872639957,0.760721012,0.727571716,0.542840817
0.939281848,0.869895692,0.771507358,0.681782466,0.600115329
0.926235677,0.871275314,0.756678994,0.74666219,0.602942072
0.94330125,0.862904672,0.732947101,0.736875195,0.60642465
0.936686082,0.868703764,0.766787069,0.808439705,0.52536602
0.92514117,0.89267993,0.763005943,0.682364131,0.589721259
0.944773788,0.857299592,0.804652889,0.677413226,0.611066748
0.943301444,0.879520748,0.739921562,0.725702094,0.588818406
0.943564591,0.8619435,0.779820178,0.750521433,0.581135107
0.94116211,0.841788149,0.817509751,0.722308405,0.563136527
0.937913715,0.853481585,0.785348288,0.679171737,0.594042775
0.947091465,0.866135491,0.763796699,0.709554385,0.581247461
0.934135144,0.855396439,0.770980188,0.711921783,0.6041034
0.937858989,0.869559153,0.84166172,0.693244825,0.608924782
0.924075772,0.875648446,0.778116078,0.673941944,0.578362833
