20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
78.7,66.2,46.9,71.6,63.3
92.2,69.0,84.7,34.4,36.6
67.7,93.2,100.3,60.8,37.4
163.5,57.0,67.2,67.0,54.1
112.2,62.3,80.7,67.6,25.7
140.1,73.3,76.3,70.8,47.8
175.0,103.5,69.7,74.7,35.5
218.4,65.1,54.2,73.6,55.1
104.7,98.4,55.0,79.2,62.4
75.2,81.6,69.2,71.4,44.8
18.3,66.4,64.0,51.4,74.1
94.3,66.8,90.0,63.9,43.2
98.1,71.5,82.3,85.1,41.4
112.7,99.0,110.9,53.0,54.1
149.2,80.2,54.7,34.9,40.0
139.3,104.0,69.3,45.7,46.9
118.8,109.0,83.5,67.1,62.4
121.2,66.0,72.1,32.7,39.5
63.2,72.1,82.7,54.7,30.7
70.7,111.3,123.3,58.0,73.8
84.8,90.8,73.0,71.0,55.3
110.3,114.6,80.9,65.7,56.4
85.6,129.1,65.2,52.4,26.7
105.0,93.8,66.5,57.5,55.7
149.1,86.2,86.8,67.4,42.7
137.4,86.7,49.3,73.5,58.7
89.7,94.4,53.8,62.6,37.4
103.7,87.7,85.6,49.2,37.5
134.2,100.8,91.9,43.3,18.6
90.6,128.1,55.9,41.0,39.9
70.4,96.7,67.9,66.4,54.4
103.5,158.6,87.6,78.8,42.7
120.9,145.3,70.3,31.7,38.3
93.2,82.6,65.3,45.0,48.1
155.1,66.6,62.3,106.9,59.0
98.9,117.3,75.8,59.1,58.8
81.8,59.1,49.1,58.6,52.5
76.5,78.1,93.5,68.0,54.4
68.5,66.7,95.5,65.3,25.8
107.1,65.2,68.2,49.3,44.8
76.5,112.2,101.0,66.0,48.1
80.9,83.6,49.1,81.8,60.8
153.9,76.7,62.5,42.5,33.3
112.1,68.3,85.3,54.3,48.2
82.3,92.6,78.7,51.5,36.1
80.0,83.6,48.8,55.4,55.3
51.8,123.9,84.6,44.4,48.5
53.8,89.6,78.1,72.2,70.9
142.7,140.8,62.5,54.0,45.3
120.1,78.6,67.5,64.0,62.5
91.5,78.3,44.0,52.7,57.4
92.5,99.5,66.1,53.6,66.7
118.7,97.5,84.2,61.0,42.8
112.6,75.2,70.3,51.2,58.7
85.0,100.5,79.6,75.6,64.7
58.1,71.0,85.8,70.3,52.8
81.3,67.2,61.2,50.8,56.8
135.1,61.7,52.0,62.1,34.6
91.3,74.5,68.6,56.8,28.9
159.9,66.0,78.3,65.9,43.9
167.9,91.1,79.0,70.0,50.7
93.2,80.6,65.1,75.7,44.9
126.1,61.3,69.0,46.7,83.8
111.6,123.5,78.5,68.4,33.4
136.9,102.2,91.0,36.7,47.0
103.1,56.0,66.1,65.8,48.4
91.5,64.5,58.4,83.6,39.4
89.9,152.5,61.7,53.5,58.9
134.8,79.8,79.6,59.4,37.1
208.9,122.3,61.9,55.2,35.0
107.3,92.2,65.7,45.9,68.8
128.0,90.0,70.6,65.8,52.0
83.6,72.0,96.1,44.9,93.0
93.8,65.6,79.9,100.0,77.4
140.1,128.2,72.8,46.6,65.4
160.7,59.8,81.3,72.1,35.8
209.9,90.5,70.6,38.6,45.4
74.7,110.1,66.5,49.8,59.1
100.6,71.9,52.6,63.8,68.8
86.5,54.9,72.3,65.5,91.8
74.6,87.8,74.6,56.6,41.2
74.4,69.5,95.4,67.9,42.3
118.6,89.5,49.6,85.2,67.7
125.1,94.7,66.1,80.0,46.7
133.6,93.7,106.4,19.7,58.2
104.3,67.7,73.3,67.7,47.8
109.5,72.2,49.9,66.7,36.5
166.3,130.7,75.6,64.5,54.3
181.5,78.1,45.5,64.1,68.0
81.6,102.9,73.8,75.0,58.9
130.4,85.6,89.0,50.4,37.5
144.5,129.8,62.5,65.1,37.2
144.0,52.9,56.1,55.2,59.6
95.2,58.7,88.1,66.2,43.4
171.8,168.9,45.2,64.3,47.9
50.7,92.1,62.8,76.6,52.3
85.1,96.4,104.6,46.0,84.9
100.7,85.6,79.3,53.6,51.6
97.5,115.0,45.6,61.9,34.6
79.4,76.3,68.9,50.8,54.2
70.3,95.3,60.0,55.6,55.2
107.3,94.4,92.0,63.0,61.3
164.5,55.2,95.8,53.5,43.6
143.9,79.2,72.0,77.1,56.9
