20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
89.1,83.6,49.7,55.4,21.1
118.5,91.2,76.9,45.4,30.2
51.2,89.6,81.2,36.0,16.3
87.2,94.7,103.0,68.4,16.9
20.2,115.6,57.4,94.8,25.6
106.9,79.8,59.3,64.7,16.9
138.2,134.8,57.8,47.3,30.2
126.2,96.1,76.2,30.5,47.6
146.0,110.9,43.0,35.0,28.0
114.5,78.6,65.2,57.1,31.4
101.8,87.6,69.9,57.9,16.1
38.2,81.1,59.1,67.1,23.7
76.1,105.9,96.3,73.9,10.6
129.7,75.6,88.5,45.3,66.8
124.2,73.5,94.5,90.0,27.2
66.9,78.3,51.5,41.8,15.1
72.1,87.5,65.5,65.6,19.4
87.0,79.7,86.6,67.1,25.6
48.7,113.3,64.7,47.9,32.5
130.7,103.7,86.3,53.2,13.3
123.0,81.0,88.6,35.6,18.2
80.8,108.8,75.0,58.5,33.5
89.1,94.6,88.3,35.9,24.7
63.9,86.2,91.5,49.0,44.3
178.8,83.2,54.6,57.6,16.3
22.1,142.9,87.4,96.4,27.6
150.9,68.8,90.1,52.9,20.3
80.9,84.4,60.5,41.8,31.3
60.4,87.3,54.1,66.9,21.8
97.7,106.0,63.5,46.2,24.8
85.9,92.3,51.1,58.7,15.8
19.4,86.5,73.5,56.5,31.0
121.6,17.3,47.4,77.0,25.9
81.3,87.0,59.1,53.5,27.2
95.7,67.9,56.1,67.5,32.0
92.1,74.9,67.1,48.2,16.3
129.4,98.4,67.7,40.1,14.7
96.0,81.4,78.8,37.0,20.5
164.1,77.4,48.7,43.1,59.1
76.6,100.6,45.1,49.0,57.9
79.2,60.9,70.4,35.4,17.9
93.3,62.4,74.6,65.0,12.9
81.1,126.4,72.1,63.6,78.9
137.8,85.8,69.7,50.3,16.2
169.1,91.3,93.6,53.5,23.2
157.6,103.3,67.9,91.9,15.6
130.8,69.7,60.0,67.9,30.7
115.5,87.9,81.1,42.3,18.2
96.3,110.2,60.0,50.6,28.5
